"Name";"List of interests-value";"List of studies-value";"Professional Experience-value"
"thomasg 16";"[{""desc"":""(Startup communities and innovation events.)"",""title"":""Entrepreneurship""},{""desc"":""(Competitive sailing (6 years).)"",""title"":""Sports""}]";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""University of Nantes, Nantes"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Economics & Management""},{""dates"":""2020 - 2021"",""field"":""not found"",""university"":""Lycée Clémenceau, Nantes"",""country or city"":""not found"",""level_of_degree"":""Baccalauréat (Maths & Economics)""}]";"[{""dates"":""01/2023 - 01/2026"",""company"":""GreenMove"",""job title"":""Co-founder & Operations Manager"",""description"":""· Co-founded a sustainable mobility startup offering shared electric bikes for students. Managed daily operations and partnerships with local institutions. Built financial forecasts and monitored monthly cash flow. Led customer acquisition campaigns, reaching over 1,000 registered users."",""country or city"":""Nantes""},{""dates"":""06/2023 - 08/2023"",""company"":""Startup Incubator"",""job title"":""Business Development Intern"",""description"":""· Supported early-stage startups in market analysis and go-to-market strategy. Assisted entrepreneurs in preparing pitch decks for investors. Participated in mentoring sessions and demo days."",""country or city"":""Nantes""}]"
"thomasg 15";"[{""desc"":""(Startup communities and innovation events.)"",""title"":""Entrepreneurship""},{""desc"":""(Competitive sailing (6 years).)"",""title"":""Sports""}]";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""University of Nantes, Nantes"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Economics & Management""},{""dates"":""2020 - 2021"",""field"":""not found"",""university"":""Lycée Clémenceau, Nantes"",""country or city"":""not found"",""level_of_degree"":""Baccalauréat (Maths & Economics)""}]";"[{""dates"":""01/2023 - 01/2026"",""company"":""GreenMove"",""job title"":""Co-founder & Operations Manager"",""description"":"". Co-founded a sustainable mobility startup offering shared electric bikes for students. Managed daily operations and partnerships with local institutions. Built financial forecasts and monitored monthly cash flow. Led customer acquisition campaigns, reaching over 1,000 registered users."",""country or city"":""Nantes""},{""dates"":""06/2023 - 08/2023"",""company"":""Startup Incubator"",""job title"":""Business Development Intern"",""description"":"". Supported early-stage startups in market analysis and go-to-market strategy. Assisted entrepreneurs in preparing pitch decks for investors. Participated in mentoring sessions and demo days."",""country or city"":""Nantes""}]"
"sarah 20";"[{""desc"":""(Lifestyle and travel portfolio on Instagram.)"",""title"":""Photography""},{""desc"":""(Fashion, consumer trends, contemporary art.)"",""title"":""Trends""}]";"[{""dates"":""2022 - 2025"",""field"":""not found"",""university"":""KEDGE Business School, Marseille"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Business Administration""},{""dates"":""2021 - 2022"",""field"":""not found"",""university"":""Lycée Thiers, Marseille"",""country or city"":""not found"",""level_of_degree"":""Baccalauréat (Economics & Social Sciences)""}]";"[{""dates"":""06/2024 - 12/2024"",""company"":""L'Oréal France"",""job title"":""Marketing Intern"",""description"":""· Assisted brand managers in the preparation and launch of new skincare products. Analyzed sales performance and campaign KPIs using Excel and internal dashboards. Coordinated with creative agencies and influencers for digital campaigns. Conducted competitive analysis and consumer trend monitoring."",""country or city"":""Paris""},{""dates"":""09/2023 - 05/2024"",""company"":""E-commerce Startup"",""job title"":""Digital Marketing Assistant"",""description"":""· Managed social media content calendars (Instagram, TikTok). Monitored online performance metrics and engagement rates. Supported SEO optimization and newsletter campaigns."",""country or city"":""Marseille""}]"
"sarah 19";"[{""desc"":""(Lifestyle and travel portfolio on Instagram.)"",""title"":""Photography""},{""desc"":""(Fashion, consumer trends, contemporary art.)"",""title"":""Trends""}]";"[{""dates"":""2022 - 2025"",""field"":""not found"",""university"":""KEDGE Business School, Marseille"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Business Administration""},{""dates"":""2021 - 2022"",""field"":""not found"",""university"":""Lycée Thiers, Marseille"",""country or city"":""not found"",""level_of_degree"":""Baccalauréat (Economics & Social Sciences)""}]";"[{""dates"":""06/2024 - 12/2024"",""company"":""L'Oréal France"",""job title"":""Marketing Intern"",""description"":""· Assisted brand managers in the preparation and launch of new skincare products. Analyzed sales performance and campaign KPIs using Excel and internal dashboards. Coordinated with creative agencies and influencers for digital campaigns. Conducted competitive analysis and consumer trend monitoring."",""country or city"":""Paris""},{""dates"":""09/2023 - 05/2024"",""company"":""E-commerce Startup"",""job title"":""Digital Marketing Assistant"",""description"":""· Managed social media content calendars (Instagram, TikTok). Monitored online performance metrics and engagement rates. Supported SEO optimization and newsletter campaigns."",""country or city"":""Marseille""}]"
"sarah 18";"[{""desc"":""(Lifestyle and travel portfolio on Instagram.)"",""title"":""Photography""},{""desc"":""(Fashion, consumer trends, contemporary art.)"",""title"":""Trends""}]";"[{""dates"":""2022 - 2025"",""field"":""not found"",""university"":""KEDGE Business School, Marseille"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Business Administration""},{""dates"":""2021 - 2022"",""field"":""not found"",""university"":""Lycée Thiers, Marseille"",""country or city"":""not found"",""level_of_degree"":""Baccalauréat (Economics & Social Sciences)""}]";"[{""dates"":""06/2024 - 12/2024"",""company"":""L'Oréal France"",""job title"":""Marketing Intern"",""description"":""· Assisted brand managers in the preparation and launch of new skincare products. Analyzed sales performance and campaign KPIs using Excel and internal dashboards. Coordinated with creative agencies and influencers for digital campaigns. Conducted competitive analysis and consumer trend monitoring."",""country or city"":""Paris""},{""dates"":""09/2023 - 05/2024"",""company"":""E-commerce Startup"",""job title"":""Digital Marketing Assistant"",""description"":""· Managed social media content calendars (Instagram, TikTok). Monitored online performance metrics and engagement rates. Supported SEO optimization and newsletter campaigns."",""country or city"":""Marseille""}]"
"sarah 17";"[{""desc"":""(Lifestyle and travel portfolio on Instagram.)"",""title"":""Photography""},{""desc"":""(Fashion, consumer trends, contemporary art.)"",""title"":""Trends""}]";"[{""dates"":""2022 - 2025"",""field"":""not found"",""university"":""KEDGE Business School, Marseille"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Business Administration""},{""dates"":""2021 -2022"",""field"":""not found"",""university"":""Lycée Thiers, Marseille"",""country or city"":""not found"",""level_of_degree"":""Baccalauréat (Economics & Social Sciences)""}]";"[{""dates"":""06/2024 - 12/2024"",""company"":""L'Oréal France"",""job title"":""Marketing Intern"",""description"":""· Assisted brand managers in the preparation and launch of new skincare products. Analyzed sales performance and campaign KPIs using Excel and internal dashboards. Coordinated with creative agencies and influencers for digital campaigns. Conducted competitive analysis and consumer trend monitoring."",""country or city"":""Paris""},{""dates"":""09/2023 - 05/2024"",""company"":""E-commerce Startup"",""job title"":""Digital Marketing Assistant"",""description"":""· Managed social media content calendars (Instagram, TikTok). Monitored online performance metrics and engagement rates. Supported SEO optimization and newsletter campaigns."",""country or city"":""Marseille""}]"
"sarah 16";"[{""desc"":""(Lifestyle and travel portfolio on Instagram.)"",""title"":""Photography""},{""desc"":""(Fashion, consumer trends, contemporary art.)"",""title"":""Trends""}]";"[{""dates"":""2022 - 2025"",""field"":""not found"",""university"":""KEDGE Business School, Marseille"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Business Administration""},{""dates"":""2021 - 2022"",""field"":""not found"",""university"":""Lycée Thiers, Marseille"",""country or city"":""not found"",""level_of_degree"":""Baccalauréat (Economics & Social Sciences)""}]";"[{""dates"":""06/2024 - 12/2024"",""company"":""L'Oréal France"",""job title"":""Marketing Intern"",""description"":""· Assisted brand managers in the preparation and launch of new skincare products. Analyzed sales performance and campaign KPIs using Excel and internal dashboards. Coordinated with creative agencies and influencers for digital campaigns. Conducted competitive analysis and consumer trend monitoring."",""country or city"":""Paris""},{""dates"":""09/2023 - 05/2024"",""company"":""E-commerce Startup"",""job title"":""Digital Marketing Assistant"",""description"":""· Managed social media content calendars (Instagram, TikTok). Monitored online performance metrics and engagement rates. Supported SEO optimization and newsletter campaigns."",""country or city"":""Marseille""}]"
"sarah 15";"[{""desc"":""(Lifestyle and travel portfolio on Instagram.)"",""title"":""Photography""},{""desc"":""(Fashion, consumer trends, contemporary art.)"",""title"":""Trends""}]";"[{""dates"":""2022 - 2025"",""field"":""not found"",""university"":""KEDGE Business School, Marseille"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Business Administration""},{""dates"":""2021 - 2022"",""field"":""not found"",""university"":""Lycée Thiers, Marseille"",""country or city"":""not found"",""level_of_degree"":""Baccalauréat (Economics & Social Sciences)""}]";"[{""dates"":""06/2024 - 12/2024"",""company"":""L'Oréal France"",""job title"":""Marketing Intern"",""description"":""· Assisted brand managers in the preparation and launch of new skincare products. Analyzed sales performance and campaign KPIs using Excel and internal dashboards. Coordinated with creative agencies and influencers for digital campaigns. Conducted competitive analysis and consumer trend monitoring."",""country or city"":""Paris""},{""dates"":""09/2023 - 05/2024"",""company"":""E-commerce Startup"",""job title"":""Digital Marketing Assistant"",""description"":""· Managed social media content calendars (Instagram, TikTok). Monitored online performance metrics and engagement rates. Supported SEO optimization and newsletter campaigns."",""country or city"":""Marseille""}]"
"maxime 20";"[{""desc"":""(Industry 4.0 and automation.)"",""title"":""Innovation""},{""desc"":""(Competitive basketball.)"",""title"":""Sports""}]";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""IMT Nord Europe, Lille"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Industrial Engineering & Management""},{""dates"":""2020 - 2021"",""field"":""not found"",""university"":""Lycée Faidherbe, Lille"",""country or city"":""not found"",""level_of_degree"":""Baccalauréat (Maths & Engineering)""}]";"[{""dates"":""06/2024 - 09/2024"",""company"":""Decathlon Logistics"",""job title"":""Operations Intern"",""description"":""· Analyzed warehouse processes and identified efficiency improvement areas. Supported the implementation of lean management tools. Built performance dashboards to monitor key operational indicators."",""country or city"":""Lille""},{""dates"":""02/2024 - 05/2024"",""company"":""not found"",""job title"":""Supply Chain Project - Academic"",""description"":""Modeled supply chain flows and demand forecasts for a retail company. Proposed inventory optimization strategies to reduce stockouts."",""country or city"":""Lille""}]"
"maxime 19";"[{""desc"":""(Industry 4.0 and automation.)"",""title"":""Innovation""},{""desc"":""(Competitive basketball.)"",""title"":""Sports""}]";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""IMT Nord Europe, Lille"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Industrial Engineering & Management""},{""dates"":""2020 - 2021"",""field"":""not found"",""university"":""Lycée Faidherbe, Lille"",""country or city"":""not found"",""level_of_degree"":""Baccalauréat (Maths & Engineering)""}]";"[{""dates"":""06/2024 - 09/2024"",""company"":""Decathlon Logistics"",""job title"":""Operations Intern"",""description"":"". Analyzed warehouse processes and identified efficiency improvement areas. Supported the implementation of lean management tools. Built performance dashboards to monitor key operational indicators."",""country or city"":""Lille""},{""dates"":""02/2024 - 05/2024"",""company"":""not found"",""job title"":""Supply Chain Project"",""description"":"". Modeled supply chain flows and demand forecasts for a retail company. Proposed inventory optimization strategies to reduce stockouts."",""country or city"":""Lille""}]"
"maxime 18";"[{""desc"":""(Industry 4.0 and automation.)"",""title"":""Innovation""},{""desc"":""(Competitive basketball.)"",""title"":""Sports""}]";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""IMT Nord Europe, Lille"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Industrial Engineering & Management""},{""dates"":""2020 - 2021"",""field"":""not found"",""university"":""Lycée Faidherbe, Lille"",""country or city"":""not found"",""level_of_degree"":""Baccalauréat (Maths & Engineering)""}]";"[{""dates"":""06/2024 - 09/2024"",""company"":""Decathlon Logistics"",""job title"":""Operations Intern"",""description"":""· Analyzed warehouse processes and identified efficiency improvement areas. Supported the implementation of lean management tools. Built performance dashboards to monitor key operational indicators."",""country or city"":""Lille""},{""dates"":""02/2024 - 05/2024"",""company"":""not found"",""job title"":""Supply Chain Project - Academic"",""description"":""· Modeled supply chain flows and demand forecasts for a retail company. Proposed inventory optimization strategies to reduce stockouts."",""country or city"":""Lille""}]"
"maxime 17";"[{""desc"":""(Industry 4.0 and automation.)"",""title"":""Innovation""},{""desc"":""(Competitive basketball.)"",""title"":""Sports""}]";"{""studies"":[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""IMT Nord Europe, Lille"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Industrial Engineering & Management""},{""dates"":""2020 - 2021"",""field"":""not found"",""university"":""Lycée Faidherbe, Lille"",""country or city"":""not found"",""level_of_degree"":""Baccalauréat (Maths & Engineering)""}]}";"[{""dates"":""06/2024 - 09/2024"",""company"":""Decathlon Logistics"",""job title"":""Operations Intern"",""description"":""Analyzed warehouse processes and identified efficiency improvement areas. Supported the implementation of lean management tools. Built performance dashboards to monitor key operational indicators."",""country or city"":""Lille""},{""dates"":""02/2024 - 05/2024"",""company"":""not found"",""job title"":""Supply Chain Project"",""description"":""Modeled supply chain flows and demand forecasts for a retail company. Proposed inventory optimization strategies to reduce stockouts."",""country or city"":""Lille""}]"
"maxime 16";"[{""desc"":""(Industry 4.0 and automation.)"",""title"":""Innovation""},{""desc"":""(Competitive basketball.)"",""title"":""Sports""}]";"{""studies"":[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""IMT Nord Europe, Lille"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Industrial Engineering & Management""},{""dates"":""2020 - 2021"",""field"":""not found"",""university"":""Lycée Faidherbe, Lille"",""country or city"":""not found"",""level_of_degree"":""Baccalauréat (Maths & Engineering)""}]}";"[{""dates"":""06/2024 - 09/2024"",""company"":""Decathlon Logistics"",""job title"":""Operations Intern"",""description"":""· Analyzed warehouse processes and identified efficiency improvement areas. Supported the implementation of lean management tools. Built performance dashboards to monitor key operational indicators."",""country or city"":""Lille""},{""dates"":""02/2024 - 05/2024"",""company"":""not found"",""job title"":""Supply Chain Project"",""description"":""· Modeled supply chain flows and demand forecasts for a retail company. Proposed inventory optimization strategies to reduce stockouts."",""country or city"":""Lille""}]"
"maxime 15";"[{""desc"":""(Industry 4.0 and automation.)"",""title"":""Innovation""},{""desc"":""(Competitive basketball.)"",""title"":""Sports""}]";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""IMT Nord Europe, Lille"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Industrial Engineering & Management""},{""dates"":""2020 - 2021"",""field"":""not found"",""university"":""Lycée Faidherbe, Lille"",""country or city"":""not found"",""level_of_degree"":""Baccalauréat (Maths & Engineering)""}]";"[{""dates"":""06/2024 - 09/2024"",""company"":""Decathlon Logistics"",""job title"":""Operations Intern"",""description"":"". Analyzed warehouse processes and identified efficiency improvement areas. Supported the implementation of lean management tools. Built performance dashboards to monitor key operational indicators."",""country or city"":""Lille""},{""dates"":""02/2024 - 05/2024"",""company"":""not found"",""job title"":""Supply Chain Project"",""description"":""· Modeled supply chain flows and demand forecasts for a retail company. Proposed inventory optimization strategies to reduce stockouts."",""country or city"":""Lille""}]"
"louis 20";"[{""desc"":""(Transforming complex data into clear insights.)"",""title"":""Data Visualization""},{""desc"":""(Hiking and trail running.)"",""title"":""Sports""}]";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""Université Grenoble Alpes, Grenoble"",""country or city"":""Grenoble"",""level_of_degree"":""Bachelor in Applied Mathematics & Economics""},{""dates"":""2020 - 2021"",""field"":""not found"",""university"":""Lycée Champollion, Grenoble"",""country or city"":""Grenoble"",""level_of_degree"":""Baccalauréat (Maths & Physics)""}]";"[{""dates"":""06/2024 - 09/2024"",""company"":""Retail Analytics Company"",""job title"":""Data Analyst Intern"",""description"":"". Cleaned and analyzed large customer datasets using Python and SQL. Built dashboards to support marketing and pricing decisions. Presented insights to non-technical stakeholders."",""country or city"":""Lyon""},{""dates"":""01/2024 - 05/2024"",""company"":""not found"",""job title"":""Business Analytics Project - Academic Team"",""description"":""· Worked in a team to analyze sales performance for a retail chain. Developed forecasting models and recommendations for inventory optimization."",""country or city"":""Grenoble""}]"
"louis 19";"[{""desc"":""Transforming complex data into clear insights."",""title"":""Data Visualization""},{""desc"":""Hiking and trail running."",""title"":""Sports""}]";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""Université Grenoble Alpes, Grenoble"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Applied Mathematics & Economics""},{""dates"":""2020 - 2021"",""field"":""not found"",""university"":""Lycée Champollion, Grenoble"",""country or city"":""not found"",""level_of_degree"":""Baccalauréat (Maths & Physics)""}]";"[{""dates"":""06/2024 - 09/2024"",""company"":""Retail Analytics Company"",""job title"":""Data Analyst Intern"",""description"":"". Cleaned and analyzed large customer datasets using Python and SQL. Built dashboards to support marketing and pricing decisions. Presented insights to non-technical stakeholders."",""country or city"":""Lyon""}]"
